Nationality,Size,Question1,Question2,Question3,Question4,Question5,Label
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,ไม่จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,จริง,ไม่จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,จริง,จริง,ไม่จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,ไม่จริง,ไม่จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,ไม่จริง,ไม่จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,จริง,ไม่จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,จริง,ไม่จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,ไม่จริง,จริง,ไม่จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,ไม่จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,ไม่จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,ไม่จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,จริง,จริง,จริง,จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ไทย,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,ไทยหลังอาน
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,ไม่จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,ไม่จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,ไม่จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,ไม่จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,ไม่จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,ไม่จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,ไม่จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,ไม่จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,ไม่จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,ไม่จริง,ไม่จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,ไม่จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,ไม่จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,ไม่จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,ไม่จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,ไม่จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,ไม่จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,ไม่จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,ไม่จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,ไม่จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,ไม่จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,จริง,จริง,จริง,จริง,พุดเดิ้ล
ต่างชาติ,กลาง,ไม่จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
ต่างชาติ,กลาง,จริง,ไม่จริง,จริง,จริง,ไม่จริง,พุดเดิ้ล
